#: table_doi: 10.17182/hepdata.89307.v1/t156
#: name: Table 156
#: description: Covariance matrix of the normalised differential cross section at particle level as a function of $\Delta\phi(l,\bar{l})$.
#: data_file: d078-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
9.0,2.0,-1.54119e-06
1.0,3.0,-1.13816e-06
2.0,3.0,-1.89777e-06
3.0,3.0,1.05505e-05
4.0,3.0,5.40222e-07
5.0,3.0,-1.02152e-06
6.0,3.0,-2.90388e-06
7.0,3.0,-2.02423e-06
8.0,3.0,2.40355e-07
9.0,3.0,-4.3153e-06
1.0,4.0,1.27563e-06
2.0,4.0,-3.58466e-06
3.0,4.0,5.40222e-07
4.0,4.0,1.2218e-05
5.0,4.0,6.89782e-07
6.0,4.0,2.41129e-06
7.0,4.0,-2.97646e-06
8.0,4.0,-4.92065e-06
9.0,4.0,-6.85465e-06
1.0,5.0,6.1314e-07
2.0,5.0,-3.06155e-06
3.0,5.0,-1.02152e-06
4.0,5.0,6.89782e-07
5.0,5.0,1.03712e-05
6.0,5.0,1.5536e-06
7.0,5.0,-3.21918e-06
8.0,5.0,-4.05786e-06
9.0,5.0,-9.80486e-07
1.0,6.0,7.09097e-07
2.0,6.0,-4.22578e-06
3.0,6.0,-2.90388e-06
4.0,6.0,2.41129e-06
5.0,6.0,1.5536e-06
6.0,6.0,1.31083e-05
7.0,6.0,-2.43297e-07
8.0,6.0,-3.83577e-06
9.0,6.0,-2.82619e-06
1.0,7.0,-5.38957e-06
2.0,7.0,-1.59505e-07
3.0,7.0,-2.02423e-06
4.0,7.0,-2.97646e-06
5.0,7.0,-3.21918e-06
6.0,7.0,-2.43297e-07
7.0,7.0,1.74524e-05
8.0,7.0,2.96305e-06
9.0,7.0,2.37431e-07
1.0,8.0,-3.84162e-06
2.0,8.0,-1.61848e-07
3.0,8.0,2.40355e-07
4.0,8.0,-4.92065e-06
5.0,8.0,-4.05786e-06
6.0,8.0,-3.83577e-06
7.0,8.0,2.96305e-06
8.0,8.0,1.65651e-05
9.0,8.0,1.32912e-06
1.0,9.0,-5.28229e-06
2.0,9.0,-1.54119e-06
3.0,9.0,-4.3153e-06
4.0,9.0,-6.85465e-06
5.0,9.0,-9.80486e-07
6.0,9.0,-2.82619e-06
7.0,9.0,2.37431e-07
8.0,9.0,1.32912e-06
9.0,9.0,2.20728e-05
1.0,1.0,1.05149e-05
2.0,1.0,1.78447e-06
3.0,1.0,-1.13816e-06
4.0,1.0,1.27563e-06
5.0,1.0,6.1314e-07
6.0,1.0,7.09097e-07
7.0,1.0,-5.38957e-06
8.0,1.0,-3.84162e-06
9.0,1.0,-5.28229e-06
1.0,2.0,1.78447e-06
2.0,2.0,1.3229e-05
3.0,2.0,-1.89777e-06
4.0,2.0,-3.58466e-06
5.0,2.0,-3.06155e-06
6.0,2.0,-4.22578e-06
7.0,2.0,-1.59505e-07
8.0,2.0,-1.61848e-07
9.0,2.0,-1.54119e-06
1.0,3.0,-1.13816e-06
2.0,3.0,-1.89777e-06
3.0,3.0,1.05505e-05
4.0,3.0,5.40222e-07
5.0,3.0,-1.02152e-06
6.0,3.0,-2.90388e-06
7.0,3.0,-2.02423e-06
8.0,3.0,2.40355e-07
9.0,3.0,-4.3153e-06
1.0,4.0,1.27563e-06
2.0,4.0,-3.58466e-06
3.0,4.0,5.40222e-07
4.0,4.0,1.2218e-05
5.0,4.0,6.89782e-07
6.0,4.0,2.41129e-06
7.0,4.0,-2.97646e-06
8.0,4.0,-4.92065e-06
9.0,4.0,-6.85465e-06
1.0,5.0,6.1314e-07
2.0,5.0,-3.06155e-06
3.0,5.0,-1.02152e-06
4.0,5.0,6.89782e-07
5.0,5.0,1.03712e-05
6.0,5.0,1.5536e-06
7.0,5.0,-3.21918e-06
8.0,5.0,-4.05786e-06
9.0,5.0,-9.80486e-07
1.0,6.0,7.09097e-07
2.0,6.0,-4.22578e-06
3.0,6.0,-2.90388e-06
4.0,6.0,2.41129e-06
5.0,6.0,1.5536e-06
6.0,6.0,1.31083e-05
7.0,6.0,-2.43297e-07
8.0,6.0,-3.83577e-06
9.0,6.0,-2.82619e-06
1.0,7.0,-5.38957e-06
2.0,7.0,-1.59505e-07
3.0,7.0,-2.02423e-06
4.0,7.0,-2.97646e-06
5.0,7.0,-3.21918e-06
6.0,7.0,-2.43297e-07
7.0,7.0,1.74524e-05
8.0,7.0,2.96305e-06
9.0,7.0,2.37431e-07
1.0,8.0,-3.84162e-06
2.0,8.0,-1.61848e-07
3.0,8.0,2.40355e-07
4.0,8.0,-4.92065e-06
5.0,8.0,-4.05786e-06
6.0,8.0,-3.83577e-06
7.0,8.0,2.96305e-06
8.0,8.0,1.65651e-05
9.0,8.0,1.32912e-06
1.0,9.0,-5.28229e-06
2.0,9.0,-1.54119e-06
3.0,9.0,-4.3153e-06
4.0,9.0,-6.85465e-06
5.0,9.0,-9.80486e-07
6.0,9.0,-2.82619e-06
7.0,9.0,2.37431e-07
8.0,9.0,1.32912e-06
9.0,9.0,2.20728e-05
1.0,1.0,1.05149e-05
2.0,1.0,1.78447e-06
3.0,1.0,-1.13816e-06
4.0,1.0,1.27563e-06
5.0,1.0,6.1314e-07
6.0,1.0,7.09097e-07
7.0,1.0,-5.38957e-06
8.0,1.0,-3.84162e-06
9.0,1.0,-5.28229e-06
1.0,2.0,1.78447e-06
2.0,2.0,1.3229e-05
3.0,2.0,-1.89777e-06
4.0,2.0,-3.58466e-06
5.0,2.0,-3.06155e-06
6.0,2.0,-4.22578e-06
7.0,2.0,-1.59505e-07
8.0,2.0,-1.61848e-07
9.0,2.0,-1.54119e-06
1.0,3.0,-1.13816e-06
2.0,3.0,-1.89777e-06
3.0,3.0,1.05505e-05
4.0,3.0,5.40222e-07
5.0,3.0,-1.02152e-06
6.0,3.0,-2.90388e-06
7.0,3.0,-2.02423e-06
8.0,3.0,2.40355e-07
9.0,3.0,-4.3153e-06
1.0,4.0,1.27563e-06
2.0,4.0,-3.58466e-06
3.0,4.0,5.40222e-07
4.0,4.0,1.2218e-05
5.0,4.0,6.89782e-07
6.0,4.0,2.41129e-06
7.0,4.0,-2.97646e-06
8.0,4.0,-4.92065e-06
9.0,4.0,-6.85465e-06
1.0,5.0,6.1314e-07
2.0,5.0,-3.06155e-06
3.0,5.0,-1.02152e-06
4.0,5.0,6.89782e-07
5.0,5.0,1.03712e-05
6.0,5.0,1.5536e-06
7.0,5.0,-3.21918e-06
8.0,5.0,-4.05786e-06
9.0,5.0,-9.80486e-07
1.0,6.0,7.09097e-07
2.0,6.0,-4.22578e-06
3.0,6.0,-2.90388e-06
4.0,6.0,2.41129e-06
5.0,6.0,1.5536e-06
6.0,6.0,1.31083e-05
7.0,6.0,-2.43297e-07
8.0,6.0,-3.83577e-06
9.0,6.0,-2.82619e-06
1.0,7.0,-5.38957e-06
2.0,7.0,-1.59505e-07
3.0,7.0,-2.02423e-06
4.0,7.0,-2.97646e-06
5.0,7.0,-3.21918e-06
6.0,7.0,-2.43297e-07
7.0,7.0,1.74524e-05
8.0,7.0,2.96305e-06
9.0,7.0,2.37431e-07
1.0,8.0,-3.84162e-06
2.0,8.0,-1.61848e-07
3.0,8.0,2.40355e-07
4.0,8.0,-4.92065e-06
5.0,8.0,-4.05786e-06
6.0,8.0,-3.83577e-06
7.0,8.0,2.96305e-06
8.0,8.0,1.65651e-05
9.0,8.0,1.32912e-06
1.0,9.0,-5.28229e-06
2.0,9.0,-1.54119e-06
3.0,9.0,-4.3153e-06
4.0,9.0,-6.85465e-06
5.0,9.0,-9.80486e-07
6.0,9.0,-2.82619e-06
7.0,9.0,2.37431e-07
8.0,9.0,1.32912e-06
9.0,9.0,2.20728e-05
1.0,1.0,1.05149e-05
2.0,1.0,1.78447e-06
3.0,1.0,-1.13816e-06
4.0,1.0,1.27563e-06
5.0,1.0,6.1314e-07
6.0,1.0,7.09097e-07
7.0,1.0,-5.38957e-06
8.0,1.0,-3.84162e-06
9.0,1.0,-5.28229e-06
1.0,2.0,1.78447e-06
2.0,2.0,1.3229e-05
3.0,2.0,-1.89777e-06
4.0,2.0,-3.58466e-06
5.0,2.0,-3.06155e-06
6.0,2.0,-4.22578e-06
7.0,2.0,-1.59505e-07
8.0,2.0,-1.61848e-07
9.0,2.0,-1.54119e-06
1.0,3.0,-1.13816e-06
2.0,3.0,-1.89777e-06
3.0,3.0,1.05505e-05
4.0,3.0,5.40222e-07
5.0,3.0,-1.02152e-06
6.0,3.0,-2.90388e-06
7.0,3.0,-2.02423e-06
8.0,3.0,2.40355e-07
9.0,3.0,-4.3153e-06
1.0,4.0,1.27563e-06
2.0,4.0,-3.58466e-06
3.0,4.0,5.40222e-07
4.0,4.0,1.2218e-05
5.0,4.0,6.89782e-07
6.0,4.0,2.41129e-06
7.0,4.0,-2.97646e-06
8.0,4.0,-4.92065e-06
9.0,4.0,-6.85465e-06
1.0,5.0,6.1314e-07
2.0,5.0,-3.06155e-06
3.0,5.0,-1.02152e-06
4.0,5.0,6.89782e-07
5.0,5.0,1.03712e-05
6.0,5.0,1.5536e-06
7.0,5.0,-3.21918e-06
8.0,5.0,-4.05786e-06
9.0,5.0,-9.80486e-07
1.0,6.0,7.09097e-07
2.0,6.0,-4.22578e-06
3.0,6.0,-2.90388e-06
4.0,6.0,2.41129e-06
5.0,6.0,1.5536e-06
6.0,6.0,1.31083e-05
7.0,6.0,-2.43297e-07
8.0,6.0,-3.83577e-06
9.0,6.0,-2.82619e-06
1.0,7.0,-5.38957e-06
2.0,7.0,-1.59505e-07
3.0,7.0,-2.02423e-06
4.0,7.0,-2.97646e-06
5.0,7.0,-3.21918e-06
6.0,7.0,-2.43297e-07
7.0,7.0,1.74524e-05
8.0,7.0,2.96305e-06
9.0,7.0,2.37431e-07
1.0,8.0,-3.84162e-06
2.0,8.0,-1.61848e-07
3.0,8.0,2.40355e-07
4.0,8.0,-4.92065e-06
5.0,8.0,-4.05786e-06
6.0,8.0,-3.83577e-06
7.0,8.0,2.96305e-06
8.0,8.0,1.65651e-05
9.0,8.0,1.32912e-06
1.0,9.0,-5.28229e-06
2.0,9.0,-1.54119e-06
3.0,9.0,-4.3153e-06
4.0,9.0,-6.85465e-06
5.0,9.0,-9.80486e-07
6.0,9.0,-2.82619e-06
7.0,9.0,2.37431e-07
8.0,9.0,1.32912e-06
9.0,9.0,2.20728e-05
1.0,1.0,1.05149e-05
2.0,1.0,1.78447e-06
3.0,1.0,-1.13816e-06
4.0,1.0,1.27563e-06
5.0,1.0,6.1314e-07
6.0,1.0,7.09097e-07
7.0,1.0,-5.38957e-06
8.0,1.0,-3.84162e-06
9.0,1.0,-5.28229e-06
1.0,2.0,1.78447e-06
2.0,2.0,1.3229e-05
3.0,2.0,-1.89777e-06
4.0,2.0,-3.58466e-06
5.0,2.0,-3.06155e-06
6.0,2.0,-4.22578e-06
7.0,2.0,-1.59505e-07
8.0,2.0,-1.61848e-07
9.0,2.0,-1.54119e-06
1.0,3.0,-1.13816e-06
2.0,3.0,-1.89777e-06
3.0,3.0,1.05505e-05
4.0,3.0,5.40222e-07
5.0,3.0,-1.02152e-06
6.0,3.0,-2.90388e-06
7.0,3.0,-2.02423e-06
8.0,3.0,2.40355e-07
9.0,3.0,-4.3153e-06
1.0,4.0,1.27563e-06
2.0,4.0,-3.58466e-06
3.0,4.0,5.40222e-07
4.0,4.0,1.2218e-05
5.0,4.0,6.89782e-07
6.0,4.0,2.41129e-06
7.0,4.0,-2.97646e-06
8.0,4.0,-4.92065e-06
9.0,4.0,-6.85465e-06
1.0,5.0,6.1314e-07
2.0,5.0,-3.06155e-06
3.0,5.0,-1.02152e-06
4.0,5.0,6.89782e-07
5.0,5.0,1.03712e-05
6.0,5.0,1.5536e-06
7.0,5.0,-3.21918e-06
8.0,5.0,-4.05786e-06
9.0,5.0,-9.80486e-07
1.0,6.0,7.09097e-07
2.0,6.0,-4.22578e-06
3.0,6.0,-2.90388e-06
4.0,6.0,2.41129e-06
5.0,6.0,1.5536e-06
6.0,6.0,1.31083e-05
7.0,6.0,-2.43297e-07
8.0,6.0,-3.83577e-06
9.0,6.0,-2.82619e-06
1.0,7.0,-5.38957e-06
2.0,7.0,-1.59505e-07
3.0,7.0,-2.02423e-06
4.0,7.0,-2.97646e-06
5.0,7.0,-3.21918e-06
6.0,7.0,-2.43297e-07
7.0,7.0,1.74524e-05
8.0,7.0,2.96305e-06
9.0,7.0,2.37431e-07
1.0,8.0,-3.84162e-06
2.0,8.0,-1.61848e-07
3.0,8.0,2.40355e-07
4.0,8.0,-4.92065e-06
5.0,8.0,-4.05786e-06
6.0,8.0,-3.83577e-06
7.0,8.0,2.96305e-06
8.0,8.0,1.65651e-05
9.0,8.0,1.32912e-06
1.0,9.0,-5.28229e-06
2.0,9.0,-1.54119e-06
3.0,9.0,-4.3153e-06
4.0,9.0,-6.85465e-06
5.0,9.0,-9.80486e-07
6.0,9.0,-2.82619e-06
7.0,9.0,2.37431e-07
8.0,9.0,1.32912e-06
9.0,9.0,2.20728e-05
1.0,1.0,1.05149e-05
2.0,1.0,1.78447e-06
3.0,1.0,-1.13816e-06
4.0,1.0,1.27563e-06
5.0,1.0,6.1314e-07
6.0,1.0,7.09097e-07
7.0,1.0,-5.38957e-06
8.0,1.0,-3.84162e-06
9.0,1.0,-5.28229e-06
1.0,2.0,1.78447e-06
2.0,2.0,1.3229e-05
3.0,2.0,-1.89777e-06
4.0,2.0,-3.58466e-06
5.0,2.0,-3.06155e-06
6.0,2.0,-4.22578e-06
7.0,2.0,-1.59505e-07
8.0,2.0,-1.61848e-07
9.0,2.0,-1.54119e-06
1.0,3.0,-1.13816e-06
2.0,3.0,-1.89777e-06
3.0,3.0,1.05505e-05
4.0,3.0,5.40222e-07
5.0,3.0,-1.02152e-06
6.0,3.0,-2.90388e-06
7.0,3.0,-2.02423e-06
8.0,3.0,2.40355e-07
9.0,3.0,-4.3153e-06
1.0,4.0,1.27563e-06
2.0,4.0,-3.58466e-06
3.0,4.0,5.40222e-07
4.0,4.0,1.2218e-05
5.0,4.0,6.89782e-07
6.0,4.0,2.41129e-06
7.0,4.0,-2.97646e-06
8.0,4.0,-4.92065e-06
9.0,4.0,-6.85465e-06
1.0,5.0,6.1314e-07
2.0,5.0,-3.06155e-06
3.0,5.0,-1.02152e-06
4.0,5.0,6.89782e-07
5.0,5.0,1.03712e-05
6.0,5.0,1.5536e-06
7.0,5.0,-3.21918e-06
8.0,5.0,-4.05786e-06
9.0,5.0,-9.80486e-07
1.0,6.0,7.09097e-07
2.0,6.0,-4.22578e-06
3.0,6.0,-2.90388e-06
4.0,6.0,2.41129e-06
5.0,6.0,1.5536e-06
6.0,6.0,1.31083e-05
7.0,6.0,-2.43297e-07
8.0,6.0,-3.83577e-06
9.0,6.0,-2.82619e-06
1.0,7.0,-5.38957e-06
2.0,7.0,-1.59505e-07
3.0,7.0,-2.02423e-06
4.0,7.0,-2.97646e-06
5.0,7.0,-3.21918e-06
6.0,7.0,-2.43297e-07
7.0,7.0,1.74524e-05
8.0,7.0,2.96305e-06
9.0,7.0,2.37431e-07
1.0,8.0,-3.84162e-06
2.0,8.0,-1.61848e-07
3.0,8.0,2.40355e-07
4.0,8.0,-4.92065e-06
5.0,8.0,-4.05786e-06
6.0,8.0,-3.83577e-06
7.0,8.0,2.96305e-06
8.0,8.0,1.65651e-05
9.0,8.0,1.32912e-06
1.0,9.0,-5.28229e-06
2.0,9.0,-1.54119e-06
3.0,9.0,-4.3153e-06
4.0,9.0,-6.85465e-06
5.0,9.0,-9.80486e-07
6.0,9.0,-2.82619e-06
7.0,9.0,2.37431e-07
8.0,9.0,1.32912e-06
9.0,9.0,2.20728e-05
1.0,1.0,1.05149e-05
2.0,1.0,1.78447e-06
3.0,1.0,-1.13816e-06
4.0,1.0,1.27563e-06
5.0,1.0,6.1314e-07
6.0,1.0,7.09097e-07
7.0,1.0,-5.38957e-06
8.0,1.0,-3.84162e-06
9.0,1.0,-5.28229e-06
1.0,2.0,1.78447e-06
2.0,2.0,1.3229e-05
3.0,2.0,-1.89777e-06
4.0,2.0,-3.58466e-06
5.0,2.0,-3.06155e-06
6.0,2.0,-4.22578e-06
7.0,2.0,-1.59505e-07
8.0,2.0,-1.61848e-07
9.0,2.0,-1.54119e-06
1.0,3.0,-1.13816e-06
2.0,3.0,-1.89777e-06
3.0,3.0,1.05505e-05
4.0,3.0,5.40222e-07
5.0,3.0,-1.02152e-06
6.0,3.0,-2.90388e-06
7.0,3.0,-2.02423e-06
8.0,3.0,2.40355e-07
9.0,3.0,-4.3153e-06
1.0,4.0,1.27563e-06
2.0,4.0,-3.58466e-06
3.0,4.0,5.40222e-07
4.0,4.0,1.2218e-05
5.0,4.0,6.89782e-07
6.0,4.0,2.41129e-06
7.0,4.0,-2.97646e-06
8.0,4.0,-4.92065e-06
9.0,4.0,-6.85465e-06
1.0,5.0,6.1314e-07
2.0,5.0,-3.06155e-06
3.0,5.0,-1.02152e-06
4.0,5.0,6.89782e-07
5.0,5.0,1.03712e-05
6.0,5.0,1.5536e-06
7.0,5.0,-3.21918e-06
8.0,5.0,-4.05786e-06
9.0,5.0,-9.80486e-07
1.0,6.0,7.09097e-07
2.0,6.0,-4.22578e-06
3.0,6.0,-2.90388e-06
4.0,6.0,2.41129e-06
5.0,6.0,1.5536e-06
6.0,6.0,1.31083e-05
7.0,6.0,-2.43297e-07
8.0,6.0,-3.83577e-06
9.0,6.0,-2.82619e-06
1.0,7.0,-5.38957e-06
2.0,7.0,-1.59505e-07
3.0,7.0,-2.02423e-06
4.0,7.0,-2.97646e-06
5.0,7.0,-3.21918e-06
6.0,7.0,-2.43297e-07
7.0,7.0,1.74524e-05
8.0,7.0,2.96305e-06
9.0,7.0,2.37431e-07
1.0,8.0,-3.84162e-06
2.0,8.0,-1.61848e-07
3.0,8.0,2.40355e-07
4.0,8.0,-4.92065e-06
5.0,8.0,-4.05786e-06
6.0,8.0,-3.83577e-06
7.0,8.0,2.96305e-06
8.0,8.0,1.65651e-05
9.0,8.0,1.32912e-06
1.0,9.0,-5.28229e-06
2.0,9.0,-1.54119e-06
3.0,9.0,-4.3153e-06
4.0,9.0,-6.85465e-06
5.0,9.0,-9.80486e-07
6.0,9.0,-2.82619e-06
7.0,9.0,2.37431e-07
8.0,9.0,1.32912e-06
9.0,9.0,2.20728e-05

