#: table_doi: 10.17182/hepdata.89307.v1/t100
#: name: Table 100
#: description: Covariance matrix of the normalised differential cross section at parton level as a function of $\Delta|y|(t,\bar{t})$.
#: data_file: d050-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
7.0,5.0,-5.06683e-05
1.0,6.0,-8.24876e-06
2.0,6.0,8.14409e-05
3.0,6.0,-1.67324e-06
4.0,6.0,-0.000104328
5.0,6.0,-2.71766e-05
6.0,6.0,0.000176512
7.0,6.0,-1.37701e-05
1.0,7.0,-3.89073e-06
2.0,7.0,8.56842e-06
3.0,7.0,1.39062e-05
4.0,7.0,-1.95702e-05
5.0,7.0,-5.06683e-05
6.0,7.0,-1.37701e-05
7.0,7.0,4.65962e-05
1.0,1.0,8.49175e-06
2.0,1.0,-1.14699e-05
3.0,1.0,-9.27343e-06
4.0,1.0,8.19665e-06
5.0,1.0,4.10975e-06
6.0,1.0,-8.24876e-06
7.0,1.0,-3.89073e-06
1.0,2.0,-1.14699e-05
2.0,2.0,8.85736e-05
3.0,2.0,-4.15456e-06
4.0,2.0,-9.1603e-05
5.0,2.0,-1.66902e-05
6.0,2.0,8.14409e-05
7.0,2.0,8.56842e-06
1.0,3.0,-9.27343e-06
2.0,3.0,-4.15456e-06
3.0,3.0,6.66238e-05
4.0,3.0,-3.03922e-05
5.0,3.0,-5.45085e-05
6.0,3.0,-1.67324e-06
7.0,3.0,1.39062e-05
1.0,4.0,8.19665e-06
2.0,4.0,-9.1603e-05
3.0,4.0,-3.03922e-05
4.0,4.0,0.000208306
5.0,4.0,2.70322e-05
6.0,4.0,-0.000104328
7.0,4.0,-1.95702e-05
1.0,5.0,4.10975e-06
2.0,5.0,-1.66902e-05
3.0,5.0,-5.45085e-05
4.0,5.0,2.70322e-05
5.0,5.0,0.000154409
6.0,5.0,-2.71766e-05
7.0,5.0,-5.06683e-05
1.0,6.0,-8.24876e-06
2.0,6.0,8.14409e-05
3.0,6.0,-1.67324e-06
4.0,6.0,-0.000104328
5.0,6.0,-2.71766e-05
6.0,6.0,0.000176512
7.0,6.0,-1.37701e-05
1.0,7.0,-3.89073e-06
2.0,7.0,8.56842e-06
3.0,7.0,1.39062e-05
4.0,7.0,-1.95702e-05
5.0,7.0,-5.06683e-05
6.0,7.0,-1.37701e-05
7.0,7.0,4.65962e-05
1.0,1.0,8.49175e-06
2.0,1.0,-1.14699e-05
3.0,1.0,-9.27343e-06
4.0,1.0,8.19665e-06
5.0,1.0,4.10975e-06
6.0,1.0,-8.24876e-06
7.0,1.0,-3.89073e-06
1.0,2.0,-1.14699e-05
2.0,2.0,8.85736e-05
3.0,2.0,-4.15456e-06
4.0,2.0,-9.1603e-05
5.0,2.0,-1.66902e-05
6.0,2.0,8.14409e-05
7.0,2.0,8.56842e-06
1.0,3.0,-9.27343e-06
2.0,3.0,-4.15456e-06
3.0,3.0,6.66238e-05
4.0,3.0,-3.03922e-05
5.0,3.0,-5.45085e-05
6.0,3.0,-1.67324e-06
7.0,3.0,1.39062e-05
1.0,4.0,8.19665e-06
2.0,4.0,-9.1603e-05
3.0,4.0,-3.03922e-05
4.0,4.0,0.000208306
5.0,4.0,2.70322e-05
6.0,4.0,-0.000104328
7.0,4.0,-1.95702e-05
1.0,5.0,4.10975e-06
2.0,5.0,-1.66902e-05
3.0,5.0,-5.45085e-05
4.0,5.0,2.70322e-05
5.0,5.0,0.000154409
6.0,5.0,-2.71766e-05
7.0,5.0,-5.06683e-05
1.0,6.0,-8.24876e-06
2.0,6.0,8.14409e-05
3.0,6.0,-1.67324e-06
4.0,6.0,-0.000104328
5.0,6.0,-2.71766e-05
6.0,6.0,0.000176512
7.0,6.0,-1.37701e-05
1.0,7.0,-3.89073e-06
2.0,7.0,8.56842e-06
3.0,7.0,1.39062e-05
4.0,7.0,-1.95702e-05
5.0,7.0,-5.06683e-05
6.0,7.0,-1.37701e-05
7.0,7.0,4.65962e-05
1.0,1.0,8.49175e-06
2.0,1.0,-1.14699e-05
3.0,1.0,-9.27343e-06
4.0,1.0,8.19665e-06
5.0,1.0,4.10975e-06
6.0,1.0,-8.24876e-06
7.0,1.0,-3.89073e-06
1.0,2.0,-1.14699e-05
2.0,2.0,8.85736e-05
3.0,2.0,-4.15456e-06
4.0,2.0,-9.1603e-05
5.0,2.0,-1.66902e-05
6.0,2.0,8.14409e-05
7.0,2.0,8.56842e-06
1.0,3.0,-9.27343e-06
2.0,3.0,-4.15456e-06
3.0,3.0,6.66238e-05
4.0,3.0,-3.03922e-05
5.0,3.0,-5.45085e-05
6.0,3.0,-1.67324e-06
7.0,3.0,1.39062e-05
1.0,4.0,8.19665e-06
2.0,4.0,-9.1603e-05
3.0,4.0,-3.03922e-05
4.0,4.0,0.000208306
5.0,4.0,2.70322e-05
6.0,4.0,-0.000104328
7.0,4.0,-1.95702e-05
1.0,5.0,4.10975e-06
2.0,5.0,-1.66902e-05
3.0,5.0,-5.45085e-05
4.0,5.0,2.70322e-05
5.0,5.0,0.000154409
6.0,5.0,-2.71766e-05
7.0,5.0,-5.06683e-05
1.0,6.0,-8.24876e-06
2.0,6.0,8.14409e-05
3.0,6.0,-1.67324e-06
4.0,6.0,-0.000104328
5.0,6.0,-2.71766e-05
6.0,6.0,0.000176512
7.0,6.0,-1.37701e-05
1.0,7.0,-3.89073e-06
2.0,7.0,8.56842e-06
3.0,7.0,1.39062e-05
4.0,7.0,-1.95702e-05
5.0,7.0,-5.06683e-05
6.0,7.0,-1.37701e-05
7.0,7.0,4.65962e-05

